customer_id,name,age,transaction_count,total_online_order,total_cash_order,total_standard_cost,max_transaction_amount,min_transaction_amount,average_transaction_amount
2518,"Krystalle Ives",68,5,0,5,1735.57,$675.03,"$1,167.18",347.114000
2573,"Tera Van Weedenburg",68,4,0,4,2081.08,$950.52,$136.73,520.270000
2713,"Hadlee Mackro",68,3,0,3,968.55,$829.65,"$1,516.13",322.850000
2758,"Fabien Whittlesea",68,3,0,3,1559.91,$677.48,$215.03,519.970000
2772,"Reynolds Vreede",68,5,0,5,2692.47,$874.90,$380.74,538.494000
2815,"Emery Carlett",68,9,0,9,2236.10,$874.90,"$1,043.77",248.455556
2950,"Kristos Anthony",68,3,0,3,1307.16,$954.82,$298.72,435.720000
3004,"Waylon Hammant",68,5,0,5,1498.75,$933.84,$141.40,299.750000
3166,"Bronson Plowman",68,7,0,7,2505.21,$99.59,"$1,043.77",357.887143
3380,"Abe Ealam",68,5,0,5,1535.85,$829.65,"$1,759.85",307.170000
98,"Allianora Babalola",67,5,0,5,1568.98,$594.68,"$1,203.40",313.796000
113,"Gage Nickless",67,6,0,6,2040.71,$675.03,"$1,043.77",340.118333
166,"Elston Oleszczak",68,8,0,8,2943.79,$993.66,"$1,082.36",367.973750
275,"Dud ",67,7,0,7,2239.61,$99.59,"$1,043.77",319.944286
360,"Atalanta Starbucke",67,5,0,5,999.16,$57.74,$136.73,199.832000
380,"Teriann Birdsey",67,8,0,8,2863.03,$829.65,"$1,203.40",357.878750
471,"Libby Wardesworth",67,6,0,6,2325.51,$770.89,$333.18,387.585000
486,"Prudi Edon",67,5,0,5,2407.81,$993.66,$141.40,481.562000
577,"Nadean Fielding",67,11,0,11,3996.60,$829.51,"$1,043.77",363.327273
701,"Ransell Ruler",67,6,0,6,1510.26,$667.40,"$1,082.36",251.710000
722,"Stewart Brosoli",67,5,0,5,2099.04,$99.59,"$1,516.13",419.808000
767,"Gustav Kos",67,5,0,5,1162.26,$689.18,"$1,082.36",232.452000
968,"Wayne Woodfin",68,7,0,7,1529.71,$829.65,"$1,580.47",218.530000
1046,"Shir Clevely",67,5,0,5,1861.00,$707.40,$161.60,372.200000
1077,"Sheba Este",67,6,0,6,2175.52,$826.51,"$1,259.36",362.586667
1201,"Stephani Mellhuish",67,3,0,3,1522.05,$612.88,$380.74,507.350000
1306,"Doyle Oleksinski",67,6,0,6,1635.14,$675.03,$161.60,272.523333
1421,"Mallorie Gouth",67,6,0,6,2922.41,$874.90,$521.94,487.068333
1553,"Vanna Matts",67,4,0,4,809.30,$74.51,"$1,610.90",202.325000
1616,"Shamus Attenbrough",67,7,0,7,4263.26,$874.90,$205.36,609.037143
1662,"Xenia Willmett",67,5,0,5,1407.26,$677.48,$137.90,281.452000
1675,"Luke Wombwell",67,4,0,4,1505.28,$99.59,$141.40,376.320000
1702,"Bryn Whisby",67,6,0,6,3270.15,$826.51,$270.30,545.025000
1745,"Leigha Clawson",67,12,0,12,1853.87,$7.21,"$1,105.75",154.489167
1800,"Dianemarie Hatherall",67,4,0,4,1126.57,$84.99,"$1,203.40",281.642500
2052,"Ganny Sealeaf",67,9,0,9,4042.19,$764.96,$101.58,449.132222
2085,"Carolynn Samsin",67,3,0,3,2097.79,$733.58,$675.03,699.263333
2193,"Roldan Carrington",67,4,0,4,2024.49,$933.84,"$1,105.75",506.122500
2226,"Hedvig Flatt",67,8,0,8,1381.09,$400.13,"$1,082.36",172.636250
2228,"Rosita Soppeth",67,4,0,4,895.82,$762.63,"$1,259.36",223.955000
2380,"Merissa Milella",67,7,0,7,2717.15,$820.78,$101.58,388.164286
2408,"Celestia ",67,3,0,3,1096.01,$675.03,$13.44,365.336667
2485,"Ringo Parkyn",67,6,0,6,1574.91,$667.40,"$1,167.18",262.485000
2747,"Anna-diane Crumpe",67,8,0,8,4157.16,$993.66,$101.58,519.645000
2818,"Frazier Streak",67,4,0,4,1533.51,$99.59,$101.58,383.377500
2867,"Lem Meegan",67,5,0,5,1779.28,$677.48,$270.30,355.856000
2908,"Tiffy Feenan",67,6,0,6,1571.69,$53.62,$131.92,261.948333
2913,"Padraic Bonnar",67,6,0,6,1822.61,$933.84,"$1,759.85",303.768333
2972,"Deena Burnsides",67,4,0,4,2029.53,$954.82,$215.14,507.382500
3017,"Jason De Lorenzo",67,6,0,6,2464.18,$84.99,$381.10,410.696667
3129,"Leola Mandrier",67,5,0,5,1336.55,$513.85,"$1,479.11",267.310000
3185,"Duky Crichley",67,7,0,7,3703.18,$993.66,"$1,167.18",529.025714
3291,"Cindy Eakin",67,4,0,4,1747.91,$99.59,$448.90,436.977500
3330,"Tina Pristnor",67,8,0,8,1835.43,$709.48,"$1,105.75",229.428750
55,"Linc Jillions",66,8,0,8,1262.42,$84.99,"$1,105.75",157.802500
102,"Langsdon Tranfield",66,7,0,7,4072.21,$778.69,$125.07,581.744286
200,"Hube Weald",66,9,0,9,3833.50,$764.96,$173.18,425.944444
298,"Maurise Lenglet",66,10,0,10,4593.10,$954.82,"$1,516.13",459.310000
299,"Corabelle Hartnell",66,7,0,7,3398.20,$762.63,$108.76,485.457143
300,"Malachi Hadcroft",66,5,0,5,3527.84,$954.82,$260.14,705.568000
423,"Orville Akerman",66,5,0,5,2235.51,$748.90,"$1,234.29",447.102000
538,"Millicent Wiffler",66,7,0,7,2497.06,$99.59,$108.76,356.722857
575,"Etan Poyle",67,2,0,2,1284.07,$993.66,$290.41,642.035000
647,"Stanislas Baildon",66,9,0,9,5424.42,$829.51,$297.43,602.713333
728,"Winthrop Corser",66,9,0,9,4507.69,$778.69,$13.44,500.854444
837,"Derick Fasler",66,3,0,3,2070.44,$950.52,$290.41,690.146667
1009,"Nolie Orring",66,5,0,5,1822.88,$954.82,"$1,580.47",364.576000
1037,"Sissie Rielly",66,8,0,8,2977.27,$863.95,"$1,580.47",372.158750
1072,"Curt Petrello",66,3,0,3,1595.26,$820.78,$161.60,531.753333
1131,"Sigmund Barkworth",66,8,0,8,3259.03,$993.66,"$1,234.29",407.378750
1426,"Allyn Carswell",66,7,0,7,2087.72,$950.52,$108.76,298.245714
1458,"Ashley Behneke",66,3,0,3,1092.81,$829.65,$108.76,364.270000
1461,"Earl Skeels",66,7,0,7,2670.02,$99.59,$381.10,381.431429
1546,"Natalya Moscone",66,6,0,6,3614.86,$954.82,$381.10,602.476667
1671,"Nerty Renak",66,4,0,4,1975.99,$954.82,$137.90,493.997500
1748,"Skell Oxenden",67,10,0,10,3790.77,$950.52,"$1,082.36",379.077000
1858,"Gabriella ",66,8,0,8,2678.44,$99.59,"$1,259.36",334.805000
1987,"Jacobo Rosenblum",67,4,0,4,1940.02,$748.90,$161.60,485.005000
1988,"Kelwin Goldsmith",66,8,0,8,2348.87,$764.96,"$1,167.18",293.608750
2068,"Wandie Nare",66,5,0,5,1225.04,$99.59,$230.09,245.008000
2214,"Farlay Plevey",66,5,0,5,1681.77,$594.68,"$1,043.77",336.354000
2282,"Dominic Gregoletti",66,6,0,6,2208.99,$689.18,"$1,479.11",368.165000
2304,"Shelia Bellew",66,7,0,7,4148.01,$954.82,"$1,479.11",592.572857
2347,"L;urette Annott",66,9,0,9,3887.68,$764.96,"$1,203.40",431.964444
2367,"Lorne Sabin",66,7,0,7,4698.05,$954.82,$161.60,671.150000
2434,"Lenci Soars",66,9,0,9,3149.88,$950.52,$206.35,349.986667
2446,"Lovell Kiss",66,7,0,7,4185.17,$933.84,$101.58,597.881429
2476,"Hal Braddon",66,14,0,14,5607.35,$795.10,"$1,479.11",400.525000
2663,"Royce Pietrowicz",66,5,0,5,715.47,$99.59,"$1,531.42",143.094000
2676,"Stinky Marlen",66,6,0,6,3097.61,$954.82,"$1,234.29",516.268333
2734,"Hetty Thormann",66,3,0,3,1149.51,$764.96,$173.18,383.170000
2774,"Danella Chevers",66,5,0,5,1855.00,$863.95,"$1,082.36",371.000000
2857,"Alanna Geram",66,6,0,6,2398.22,$667.40,"$1,203.40",399.703333
3002,"Tracey Verdun",66,7,0,7,4008.52,$829.65,$136.73,572.645714
3028,"Leandra Schubert",66,5,0,5,2577.79,$84.99,$388.92,515.558000
3034,"Mara Tofanini",66,5,0,5,1792.71,$829.51,"$1,043.77",358.542000
3270,"Tracey Redsull",66,5,0,5,1775.81,$677.48,"$1,580.47",355.162000
3302,"Faulkner McKiernan",66,5,0,5,1295.62,$75.26,$131.92,259.124000
3348,"Amanda Hazeltine",66,3,0,3,1613.66,$933.84,$298.72,537.886667
3457,"Robbi Springthorpe",66,3,0,3,923.56,$459.71,$215.03,307.853333
3462,"Jehanna Sparhawk",66,5,0,5,976.04,$74.51,$13.44,195.208000
3483,"Emlyn Burnel",66,6,0,6,1788.10,$764.96,"$1,105.75",298.016667
3486,"Reece Crewther",66,4,0,4,1749.74,$993.66,$297.43,437.435000
33,"Ernst Hacon",65,7,0,7,2510.49,$950.52,"$1,580.47",358.641429
84,"Rich Mathiasen",65,7,0,7,1967.03,$84.99,"$1,203.40",281.004286
85,"Kane Tixall",65,6,0,6,1361.97,$75.26,"$1,234.29",226.995000
143,"Kendall Figg",65,4,0,4,2214.44,$954.82,$230.09,553.610000
154,"Faydra Dulieu",65,5,0,5,1579.54,$748.90,"$1,259.36",315.908000
169,"Alfy Bruhnke",65,3,0,3,1368.82,$764.96,$215.14,456.273333
209,"Udall Bellard",65,5,0,5,1931.05,$829.65,"$1,082.36",386.210000
214,"Jeramie Cellier",65,6,0,6,1241.02,$778.69,"$1,516.13",206.836667
311,"Jaimie Halms",65,6,0,6,2338.40,$764.96,"$1,167.18",389.733333
315,"Lisa Odlin",65,9,0,9,3391.86,$829.51,"$1,043.77",376.873333
338,"Hilliary Littrell",65,7,0,7,2428.32,$933.84,"$1,043.77",346.902857
343,"Nicole Johananoff",65,9,0,9,3425.59,$950.52,"$1,759.85",380.621111
413,"Simone Denys",65,5,0,5,1483.83,$818.01,$131.92,296.766000
436,"Erwin Pendre",65,3,0,3,1249.88,$733.58,$108.76,416.626667
516,"Craggy Loadsman",65,10,0,10,4299.49,$818.01,$101.58,429.949000
556,"Oralia Gifford",65,5,0,5,2975.30,$820.78,$381.10,595.060000
568,"Quinn Fulks",65,7,0,7,2534.56,$954.82,"$1,234.29",362.080000
610,"Hyatt Craine",65,9,0,9,3631.29,$826.51,"$1,105.75",403.476667
1350,"Bing Vicar",65,2,0,2,1008.20,$709.48,$298.72,504.100000
1383,"Coriss Casarino",65,4,0,4,769.58,$75.26,$260.14,192.395000
1385,"Melesa Priddy",65,5,0,5,2090.62,$863.95,"$1,203.40",418.124000
1395,"Jandy Pennazzi",65,3,0,3,1089.50,$707.40,"$1,479.11",363.166667
1404,"Emmott Mercik",65,10,0,10,3975.01,$993.66,$136.73,397.501000
1405,"Kylie Spriggin",65,11,0,11,3262.71,$954.82,"$1,043.77",296.610000
1469,"Shermy ",65,6,0,6,2837.35,$954.82,$290.41,472.891667
1506,"Andonis Cochrane",65,10,0,10,2864.19,$764.96,"$1,759.85",286.419000
1572,"Tam Jahner",65,6,0,6,2468.86,$778.69,$388.92,411.476667
1677,"Petrina Pollins",65,8,0,8,2247.68,$748.90,"$1,580.47",280.960000
1699,"Poul Dumphy",65,8,0,8,1865.28,$764.96,"$1,259.36",233.160000
1874,"Nickolai McChesney",65,5,0,5,1811.78,$677.48,$205.36,362.356000
1881,"Gherardo Lahy",65,7,0,7,3540.35,$733.58,$108.76,505.764286
1926,"Stefano Menhenitt",65,5,0,5,1746.87,$826.51,"$1,105.75",349.374000
2041,"Mort Heath",65,6,0,6,2451.67,$675.03,"$1,479.11",408.611667
2089,"Erie Ballston",65,2,0,2,358.00,$45.26,$312.74,179.000000
2126,"Hugibert Getcliff",65,4,0,4,1202.80,$521.94,"$1,167.18",300.700000
2329,"Donny Stiven",65,5,0,5,1975.46,$954.82,$215.03,395.092000
2348,"Keeley Winslet",65,4,0,4,1620.10,$874.90,$594.68,405.025000
2402,"Merrielle Strafen",66,3,0,3,956.82,$954.82,"$1,167.18",318.940000
2405,"Quintana Merricks",65,5,0,5,963.95,$56.93,$101.58,192.790000
2442,"Odie Enrrico",65,6,0,6,2394.60,$84.99,$215.03,399.100000
2500,"Micky Livings",65,3,0,3,511.09,$298.72,"$1,259.36",170.363333
2652,"Kelbee Bernat",65,5,0,5,1856.73,$762.63,$248.82,371.346000
2870,"Aldis Chazerand",65,2,0,2,463.98,$75.26,$388.72,231.990000
3038,"Hermione ",65,6,0,6,2073.33,$667.40,$108.76,345.555000
3154,"Angil Ellesmere",65,7,0,7,2205.00,$596.55,"$1,167.18",315.000000
3242,"Lib Schohier",65,7,0,7,2560.75,$675.03,$108.76,365.821429
3440,"Retha Kahane",65,5,0,5,2304.94,$933.84,"$1,479.11",460.988000
205,"Rolfe Kellard",64,9,0,9,3381.48,$954.82,"$1,516.13",375.720000
294,"Magnum Slowan",64,7,0,7,1976.18,$431.45,"$1,234.29",282.311429
330,"Port Pancost",64,6,0,6,2173.63,$74.51,"$1,043.77",362.271667
359,"Dulcine Gauson",64,10,0,10,4409.58,$954.82,"$1,234.29",440.958000
418,"Jere Ding",64,6,0,6,2973.01,$709.48,$230.09,495.501667
420,"Clem Leek",64,10,0,10,6262.19,$954.82,"$1,167.18",626.219000
495,"Lucius Prescott",64,6,0,6,2033.10,$99.59,$297.43,338.850000
536,"Jannelle Leist",64,4,0,4,1250.52,$448.90,$206.35,312.630000
781,"Elvis O'Leagham",64,5,0,5,1507.15,$778.69,$312.74,301.430000
1041,"Free Bonniface",64,4,0,4,1978.52,$764.96,$205.36,494.630000
1095,"Emelda Gerler",64,4,0,4,2417.70,$874.90,$388.92,604.425000
1183,"Joe Shalliker",64,5,0,5,1814.41,$818.01,"$1,105.75",362.882000
1199,"Ludovico Bertot",65,8,0,8,4053.13,$954.82,$125.07,506.641250
1254,"Quillan McDuffie",64,7,0,7,3355.12,$954.82,$161.60,479.302857
1433,"Marya Szwandt",64,3,0,3,888.25,$829.51,"$1,234.29",296.083333
1608,"Fernande Petzolt",64,3,0,3,1605.16,$993.66,$211.37,535.053333
1731,"Aigneis MacKall",64,11,0,11,4494.63,$933.84,$234.43,408.602727
1742,"Quintin Dublin",64,6,0,6,2413.36,$820.78,"$1,234.29",402.226667
1750,"Filbert Evreux",64,6,0,6,2540.66,$874.90,$270.30,423.443333
1767,"Cicely Millier",64,5,0,5,1562.49,$709.48,"$1,259.36",312.498000
1810,"Royall Terris",64,2,0,2,290.29,$75.26,$215.03,145.145000
1849,"Jess Bollans",64,6,0,6,2991.77,$863.95,$131.92,498.628333
1946,"Brannon Gladman",64,13,0,13,4361.26,$950.52,"$1,203.40",335.481538
1974,"Aharon Moller",65,5,0,5,2179.12,$950.52,$448.90,435.824000
2060,"Constancia Akram",64,11,0,11,5304.08,$795.10,$131.92,482.189091
2220,"Curr Jancey",64,4,0,4,1296.08,$764.96,"$1,105.75",324.020000
2229,"Linette Gotmann",64,4,0,4,1823.68,$795.10,$448.90,455.920000
2253,"Gracie Kubacki",64,6,0,6,2574.73,$863.95,"$1,531.42",429.121667
2339,"Damien Haddeston",64,9,0,9,2590.53,$84.99,"$1,479.11",287.836667
2343,"Wilhelm Corteis",64,3,0,3,939.74,$677.48,$13.44,313.246667
2350,"Lorinda Malpass",64,6,0,6,2898.62,$829.51,"$1,580.47",483.103333
2354,"Tammie Fisbey",64,5,0,5,1359.40,$99.59,$154.40,271.880000
2358,"Ave Peatt",64,11,0,11,4840.70,$874.90,$137.90,440.063636
2376,"Eada Narbett",64,4,0,4,1702.54,$778.69,"$1,759.85",425.635000
2385,"Gaultiero Lissenden",64,8,0,8,3104.81,$933.84,$125.07,388.101250
2407,"Merrily ",64,5,0,5,3315.14,$795.10,$464.72,663.028000
2441,"Loutitia Pinkie",64,2,0,2,449.90,$448.90,"$1,167.18",224.950000
2538,"Jacinta Petrillo",64,9,0,9,4697.38,$950.52,"$1,203.40",521.931111
2576,"Lotty Szubert",64,7,0,7,4138.95,$950.52,"$1,610.90",591.278571
2635,"Arty Mac Geaney",64,8,0,8,4087.52,$829.51,"$1,516.13",510.940000
2656,"Halli Littledike",64,7,0,7,3299.21,$874.90,"$1,610.90",471.315714
2667,"Randene Brown",64,5,0,5,1787.10,$950.52,"$1,516.13",357.420000
2680,"Noella Firk",64,9,0,9,4086.67,$954.82,"$1,531.42",454.074444
2728,"Imojean Atyeo",64,8,0,8,2893.78,$770.89,"$1,234.29",361.722500
2735,"Ricoriki Burree",64,2,0,2,504.73,$270.30,$234.43,252.365000
2830,"Bjorn Simioli",64,5,0,5,815.29,$53.62,"$1,580.47",163.058000
2890,"Nevile Ecclesall",64,7,0,7,2892.25,$874.90,"$1,167.18",413.178571
2984,"Frances Mishaw",64,5,0,5,2334.13,$649.49,$137.90,466.826000
3080,"Christoforo Santus",64,9,0,9,5723.12,$954.82,$101.58,635.902222
3109,"Jeralee Domleo",64,5,0,5,1460.32,$874.90,"$1,610.90",292.064000
3121,"Mahmoud Batterbee",64,6,0,6,3215.31,$993.66,$206.35,535.885000
3205,"Egan Flockhart",64,6,0,6,2183.24,$933.84,"$1,610.90",363.873333
3233,"Xever Feeley",64,3,0,3,1695.61,$954.82,$7.21,565.203333
3244,"Rosene Bullar",64,4,0,4,1041.36,$818.01,"$1,531.42",260.340000
3245,"Wainwright Succamore",64,6,0,6,3641.92,$954.82,$312.74,606.986667
3279,"Morgun Razoux",64,1,0,1,380.74,$380.74,$380.74,380.740000
3282,"Helga Nuzzi",64,4,0,4,828.17,$74.51,"$1,203.40",207.042500
3356,"Dill Bampford",64,5,0,5,2223.63,$99.59,"$1,259.36",444.726000
3436,"Marget Freeland",64,7,0,7,3207.82,$954.82,"$1,580.47",458.260000
51,"Fidelio Dilke",63,8,0,8,3707.31,$863.95,"$1,105.75",463.413750
61,"Kacey Rowbottom",63,6,0,6,2016.76,$874.90,"$1,259.36",336.126667
73,"Minette Worters",63,6,0,6,2949.36,$954.82,$298.72,491.560000
118,"Prentice Pearmain",63,5,0,5,1769.41,$507.58,$211.37,353.882000
125,"Darrelle Antoniewski",63,10,0,10,3762.31,$950.52,$205.36,376.231000
412,"Evanne Feechum",63,3,0,3,1986.09,$829.65,$407.54,662.030000
452,"Natalee Bamford",63,5,0,5,1144.66,$75.26,"$1,167.18",228.932000
462,"Melany Thorrington",63,6,0,6,4230.53,$993.66,$205.36,705.088333
565,"Saleem Meller",63,10,0,10,3616.42,$709.48,"$1,759.85",361.642000
805,"Jorrie Hanhardt",63,6,0,6,1358.12,$84.99,"$1,203.40",226.353333
873,"Worthington Penwarden",63,5,0,5,1199.74,$459.71,$141.40,239.948000
909,"Suzette Surgison",63,5,0,5,2012.93,$675.03,"$1,259.36",402.586000
977,"Olga Dyke",63,5,0,5,2700.19,$829.51,$380.74,540.038000
979,"Kayla Falkingham",63,5,0,5,2471.55,$689.18,"$1,259.36",494.310000
982,"Tibold Bonwell",63,6,0,6,1850.82,$7.21,$290.41,308.470000
1016,"Adrian Prettyjohns",63,6,0,6,1500.89,$667.40,"$1,531.42",250.148333
1104,"Jewelle Pincott",63,7,0,7,2630.97,$748.90,"$1,259.36",375.852857
1111,"Zach Maynard",63,7,0,7,3318.78,$829.51,"$1,043.77",474.111429
1216,"Frank Vallerine",63,4,0,4,1197.81,$795.10,$312.74,299.452500
1232,"Stillmann Wilfling",63,9,0,9,3161.10,$933.84,"$1,043.77",351.233333
1371,"Aretha Joscelyn",63,4,0,4,2875.66,$954.82,$376.84,718.915000
1417,"Micki Russel",63,7,0,7,2976.22,$954.82,"$1,105.75",425.174286
1420,"Minni Hanner",63,5,0,5,2844.20,$863.95,$589.27,568.840000
1423,"Tiphanie Klossek",63,6,0,6,2828.94,$829.65,"$1,082.36",471.490000
1473,"Darrick Feake",63,11,0,11,3444.43,$950.52,"$1,479.11",313.130000
1500,"Bellina Bradberry",63,5,0,5,1828.26,$818.01,"$1,759.85",365.652000
1604,"Natale Duinbleton",63,3,0,3,555.53,$400.13,"$1,531.42",185.176667
1682,"Gerladina Cuddon",63,6,0,6,2256.25,$675.03,"$1,203.40",376.041667
1694,"Tonnie McLinden",63,7,0,7,1746.88,$826.51,"$1,259.36",249.554286
1812,"Daffi Sewley",63,10,0,10,3422.07,$764.96,"$1,516.13",342.207000
1824,"Robbie Yakubovics",63,7,0,7,443.42,$53.62,"$1,082.36",63.345714
1910,"Yovonnda Warrior",63,3,0,3,875.94,$818.01,"$1,259.36",291.980000
1979,"Ephrem Cariss",63,5,0,5,2318.49,$954.82,"$1,203.40",463.698000
2009,"Neilla Castrillo",63,7,0,7,1658.25,$594.68,"$1,479.11",236.892857
2038,"Fae Done",63,4,0,4,1023.10,$75.26,$108.76,255.775000
2046,"Charis Maas",63,9,0,9,4158.76,$829.51,$161.60,462.084444
2048,"Sorcha Genthner",63,7,0,7,3303.36,$826.51,$248.82,471.908571
2051,"Teresita Drinnan",64,6,0,6,1236.27,$74.51,$108.76,206.045000
2057,"Elianora Sally",63,6,0,6,1882.28,$400.91,$161.60,313.713333
2072,"Margie Tillyer",63,13,0,13,3704.58,$589.27,"$1,043.77",284.967692
2080,"Rosamond Sainer",63,6,0,6,3213.72,$820.78,$125.07,535.620000
2099,"Mikel McKechnie",63,7,0,7,1577.98,$733.58,"$1,203.40",225.425714
2150,"Huntlee Pashba",63,6,0,6,2673.02,$748.90,"$1,259.36",445.503333
2231,"Rasla Landreth",63,3,0,3,339.85,$230.09,"$1,531.42",113.283333
2251,"Leslie Shotboult",63,7,0,7,2294.08,$84.99,"$1,167.18",327.725714
2306,"Hilary Tregunna",63,4,0,4,2424.86,$993.66,$388.92,606.215000
2404,"Conney Grouse",63,5,0,5,1611.74,$950.52,"$1,259.36",322.348000
2440,"Lethia Juanes",63,4,0,4,1136.82,$612.88,"$1,203.40",284.205000
2454,"Gene Brome",63,10,0,10,3625.54,$829.51,"$1,580.47",362.554000
2617,"Vanda Donnellan",63,7,0,7,2122.38,$675.03,"$1,759.85",303.197143
2956,"Thedric Bolding",63,7,0,7,1893.73,$826.51,"$1,234.29",270.532857
3075,"Corty Debell",63,6,0,6,2963.51,$874.90,$161.60,493.918333
3079,"Yorker McKevany",63,4,0,4,2127.19,$874.90,$56.93,531.797500
3084,"Birgit Dowers",63,6,0,6,3488.32,$950.52,"$1,082.36",581.386667
3119,"Earle Frisby",63,4,0,4,2038.17,$874.90,$507.58,509.542500
